network,station,channel,start_time,end_time,npts,latitude,longitude,elevation,units_type,units,source,source_file,sensor_sensitivity,scaling_factor,sampling_rate,low_filter_corner,high_filter_corner,instrument_period,instrument_damping,mean,standard_deviation,rms,pga,skewness,kurtosis,zero_crossing_rate,cav,horizontal_orientation
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN011.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.1465,1.1465,21.2776,5.7412,38.7441,20.7941,21.1449,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN012.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,2.3328,2.3328,25.1030,2.7324,7.9530,11.4853,68.3445,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN013.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0045,0.7000,-0.0000,1.2754,1.2754,17.5481,4.6144,23.3485,14.7059,28.3801,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN014.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.4606,1.4606,18.8788,4.6736,23.2355,15.9265,31.4364,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN015.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,2.3719,2.3719,25.2440,1.8616,3.0980,9.3824,80.5566,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN016.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,0.0000,1.0935,1.0935,14.4262,4.4851,23.5832,12.6324,27.4355,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN017.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0046,0.7000,0.0000,1.2086,1.2086,12.2096,4.3358,20.6912,11.9853,29.6236,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN018.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,0.0000,2.4039,2.4039,31.6735,2.0090,4.1413,10.3824,79.3614,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN019.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.3185,1.3185,16.7874,4.4740,21.8252,12.4853,30.9816,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN020.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.4422,1.4422,16.0629,4.5303,22.1497,14.2794,33.2727,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN021.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,1.9736,1.9736,26.3035,2.8703,9.5192,10.0441,56.8402,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN022.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,0.9446,0.9446,13.1981,5.3803,34.5367,15.5735,21.1721,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN023.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,1.0104,1.0104,16.0769,5.3695,34.0859,14.4853,22.7606,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN024.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,1.4620,1.4620,18.2133,3.8924,17.3963,13.9853,34.3324,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN025.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.2679,1.2679,21.5141,4.9334,25.9758,16.4265,24.2629,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN026.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0050,0.7000,-0.0000,1.2393,1.2393,21.1508,5.0345,28.0903,19.2353,24.6811,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN027.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,0.0000,1.5996,1.5996,21.0490,3.4180,16.2637,11.1618,47.0577,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN028.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0050,0.7000,-0.0000,1.1540,1.1540,18.2133,5.3468,33.5757,20.3676,24.5067,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN029.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,0.0000,1.3003,1.3003,20.1363,5.2223,30.8504,24.3676,27.2005,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN030.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.0649,1.0649,14.9858,5.4968,36.3863,22.2500,23.9305,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN031.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,2.9226,2.9226,28.0153,2.0311,3.7693,11.5147,97.7253,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN032.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.5477,1.5477,23.3909,4.5563,23.3463,22.8088,36.9976,90.0000
